Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),median house value,median monthly owner costs (with mortgage),median gross rent,median asking price for vacant for-sale home/condo,Number of Homes,Count of Abnb,Density of Abnb (%)
1,1,1,Atlanta,2,22,80,N,30305,23394,22999,21380,100.4,6.4,0,3635,549848,2733,1237,789677,9357.6,26,0.277849021
1,2,3,Atlanta,6,57,80,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,24,73,N,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,2,2,Atlanta,4,52,78,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,2,Atlanta,5,119,70,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,6,75,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
1,2,2,Atlanta,4,55,60,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,12,115,N,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,2,3,Atlanta,5,17,129,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,2,Atlanta,2,86,80,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
2,2,2,Atlanta,6,12,249,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,4,5,79,N,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,6,80,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,2,Atlanta,2,3,125,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,Atlanta,3,5,109,N,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,Atlanta,2,44,50,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,3,30,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,3,78,79,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
3,3,5,Atlanta,10,15,239,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,55,55,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,7,59,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
2,2,2,Atlanta,6,96,127,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,2,Atlanta,6,41,41,N,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,2,Atlanta,4,30,69,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,2,2,Atlanta,4,44,140,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
4,3,3,Atlanta,10,22,700,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,4,85,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
2,2,2,Atlanta,4,8,119,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
3,1,3,Atlanta,6,13,350,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Decatur,2,127,70,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
1,2,2,Atlanta,5,108,96,N,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,51,65,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
3,3,3,Atlanta,8,40,95,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,6,120,N,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,2,Atlanta,4,11,135,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
2,2,4,Atlanta,10,7,337,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,6,40,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,Atlanta,3,5,188,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,11,70,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
1,1,2,Atlanta,4,65,77,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
2,2,3,Atlanta,6,16,99,N,30305,23394,22999,21380,100.4,6.4,0,3635,549848,2733,1237,789677,9357.6,26,0.277849021
4,5,8,Atlanta,16,38,314,N,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
2,2,2,Atlanta,4,28,125,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,2,3,Atlanta,4,30,110,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,4,110,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,2,Atlanta,4,48,95,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
3,4,4,Atlanta,7,9,350,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,8,50,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,138,64,N,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
3,5,7,Atlanta,12,47,410,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
5,7,10,Atlanta,16,14,949,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,2,Atlanta,4,6,135,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
2,2,3,Atlanta,6,3,84,N,30315,34193,33857,40288,96.4,11.3,0,3022,101446,1177,824,156424,13677.2,15,0.10967157
1,1,1,Atlanta,2,37,49,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,3,3,75,N,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,58,78,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
2,5,6,Atlanta,10,4,147,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,1,Atlanta,2,3,60,N,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,3,29,80,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,29,39,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
1,1,2,Atlanta,3,14,100,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,11,38,N,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
1,1,1,Atlanta,2,59,65,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,304,89,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,2,Atlanta,3,90,93,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,17,75,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
2,2,3,Decatur,6,18,200,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
2,2,4,Atlanta,8,27,133,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,1,Atlanta,2,13,90,N,30318,49983,49736,53229,97.5,20.4,0.2,2454,195566,1626,1053,192009,19993.2,18,0.09003061
1,1,1,Atlanta,2,3,75,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,1,6,129,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,6,12,75,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,70,50,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,3,4,Atlanta,6,31,120,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,34,70,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,2,Atlanta,3,66,89,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,17,76,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,62,76,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,2,Atlanta,5,45,97,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,3,11,60,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,2,2,Atlanta,4,6,135,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
2,5,5,Atlanta,10,10,500,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,15,90,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,2,2,Atlanta,4,114,109,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,1,10,39,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
1,2,2,Atlanta,4,16,100,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,2,2,Atlanta,4,10,100,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,3,175,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,2,2,Atlanta,5,36,80,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,2,2,Atlanta,4,11,120,N,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
2,2,2,Atlanta,4,10,190,N,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,1,Atlanta,2,15,79,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,1,Atlanta,2,4,37,Y,30315,34193,33857,40288,96.4,11.3,0,3022,101446,1177,824,156424,13677.2,15,0.10967157
1,2,2,Atlanta,4,4,125,Y,30305,23394,22999,21380,100.4,6.4,0,3635,549848,2733,1237,789677,9357.6,26,0.277849021
2,2,2,Atlanta,4,21,225,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,4,133,70,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,6,75,Y,30305,23394,22999,21380,100.4,6.4,0,3635,549848,2733,1237,789677,9357.6,26,0.277849021
1,1,1,Atlanta,2,24,134,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
2,2,4,Atlanta,8,8,110,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,1,Atlanta,3,203,89,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,1,2,Atlanta,4,40,81,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,1,Atlanta,2,39,45,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
3,4,4,Atlanta,10,7,749,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,2,2,Atlanta,4,12,75,N,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,1,Atlanta,3,18,69,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,2,Atlanta,3,69,69,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,32,25,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,3,4,Atlanta,6,23,250,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
2,2,3,Atlanta,5,31,155,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,57,95,Y,30317,13265,11970,13981,97.1,3.5,0,3777,272815,1736,950,245386,5306,75,1.413494158
1,1,1,Atlanta,3,21,125,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,123,89,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
2,2,3,Atlanta,6,27,89,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
1,2,2,Atlanta,7,132,82,N,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,2,Atlanta,4,243,99,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,1,Atlanta,4,201,95,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,2,4,Atlanta,4,32,125,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
2,2,3,Atlanta,6,45,63,N,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,2,Atlanta,4,22,50,N,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
2,2,3,Atlanta,8,4,70,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,2,Atlanta,4,11,108,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,2,Atlanta,4,18,79,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,2,2,Atlanta,4,17,190,Y,30305,23394,22999,21380,100.4,6.4,0,3635,549848,2733,1237,789677,9357.6,26,0.277849021
1,1,1,Atlanta,1,6,65,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
3,3,3,Atlanta,6,36,450,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,6,30,90,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
2,3,3,Atlanta,5,3,185,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,1,9,63,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
1,1,2,Atlanta,2,39,51,N,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,7,64,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,1,25,55,N,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,23,35,Y,30305,23394,22999,21380,100.4,6.4,0,3635,549848,2733,1237,789677,9357.6,26,0.277849021
1,1,3,Atlanta,6,6,100,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,4,11,90,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,2,Atlanta,3,59,88,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,2,3,Atlanta,5,11,165,Y,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
1,1,1,Atlanta,2,19,55,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
2,2,5,Atlanta,6,87,50,Y,30313,11189,9495,11035,98.3,1.1,0,10062,229085,1867,965,607748,4475.6,79,1.765126463
1,1,1,Atlanta,2,31,98,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,35,130,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,73,65,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,1,14,175,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,4,13,207,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,14,40,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,2,3,Atlanta,6,4,117,N,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,2,2,Atlanta,4,56,135,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,2,3,Atlanta,4,7,100,N,30316,32108,31110,32495,96.6,12.5,0.1,2565,203224,1520,1079,259826,12843.2,53,0.41266974
1,1,1,Atlanta,3,43,50,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,3,40,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,3,5,Atlanta,8,17,175,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,111,58,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,41,79,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,2,37,89,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,40,89,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,2,3,Atlanta,6,26,300,Y,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,2,1,Atlanta,6,9,77,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
2,3,3,Atlanta,6,5,200,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,1,1,Atlanta,3,3,95,Y,30324,26343,24267,20317,99.1,5.3,0,5006,335525,2081,1225,212039,10537.2,96,0.911057966
2,3,3,Atlanta,5,17,110,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,1,Atlanta,2,50,105,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
1,1,1,Atlanta,2,8,65,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
2,3,4,Atlanta,6,14,195,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
2,2,4,Atlanta,6,21,83,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,1,Atlanta,2,13,50,N,30306,22667,22246,21199,100.7,4.4,0,5164,602236,2787,1194,454084,9066.8,112,1.235275952
1,2,3,Atlanta,5,13,150,Y,30307,19520,18004,16646,99.2,4.6,0,4274,458614,2301,1123,381747,7808,130,1.664959016
1,2,2,Atlanta,5,14,157,Y,30312,22786,19360,20221,98.5,3.4,0,6796,234413,1656,1017,445032,9114.4,200,2.194329852
1,1,2,Atlanta,3,35,34,Y,30309,23359,21845,18739,97.6,3.4,0,6834,310330,1959,1243,346940,9343.6,190,2.033477461
1,1,3,Atlanta,4,62,80,Y,30308,17280,15413,11796,98,1.6,0,10836,259718,1713,1162,326958,6912,210,3.038194444
