Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1,1,1,Atlanta,2,4,90,Y,33.78591,-84.38014,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
2,2,2,Atlanta,4,11,237,Y,33.82489,-84.38923,30305,23394,22999,21380,100.4,6.4,0.0,3635,11153,12241,1.2,6415,6966,549848,91147,2733,1220,1237,789677,2.3,9357.6,26,0.277849021,139.1538462,19.93333333,4.9,1.384615385,1.769230769,1.807692308,1.807692308
1,1,1,Atlanta,3,6,125,Y,33.77714,-84.40933,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,1,Atlanta,2,4,50,N,33.76579,-84.40608,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
2,2,2,Atlanta,6,3,150,Y,33.82392,-84.367,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,2,Atlanta,4,18,79,Y,33.75345,-84.36742,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,2,2,Boston,4,3,99,Y,42.34407,-71.0651,2111,7672,7383,5138,156.2,0.3,0.0,28413,3761,3911,1.0,6756,9638,740975,41316,2978,1513,1363,808477,4.0,3068.8,84,2.737226277,166.7108434,29.11538462,4.631944444,1.166666667,1.567567568,1.988095238,1.988095238
2,2,3,Atlanta,6,15,150,Y,33.76867,-84.38217,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,2,2,Atlanta,6,30,112,N,33.74512,-84.38372,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
2,2,2,Atlanta,4,6,145,Y,33.78087,-84.41014,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,2,Atlanta,4,27,60,Y,33.76361,-84.38729,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
2,2,2,Atlanta,6,6,170,Y,33.78841,-84.40074,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,2,Atlanta,5,56,89,Y,33.76218,-84.38898,30313,11189,9495,11035,98.3,1.1,0.0,10062,7009,4180,0.9,1977,2122,229085,43876,1867,843,965,607748,15.1,4475.6,79,1.765126463,97.50649351,54.40277778,4.781690141,1.164556962,1.2,1.936708861,1.936708861
1,1,1,Boston,2,13,90,N,42.34284,-71.0638,2111,7672,7383,5138,156.2,0.3,0.0,28413,3761,3911,1.0,6756,9638,740975,41316,2978,1513,1363,808477,4.0,3068.8,84,2.737226277,166.7108434,29.11538462,4.631944444,1.166666667,1.567567568,1.988095238,1.988095238
1,1,1,Atlanta,2,17,41,Y,33.7301,-84.3625,30312,22786,19360,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455,1388,234413,44854,1656,502,1017,445032,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1,1,1,Atlanta,3,3,95,Y,33.81176,-84.37642,30324,26343,24267,20317,99.1,5.3,0.0,5006,13630,12713,1.1,3915,3198,335525,66294,2081,684,1225,212039,4.2,10537.2,96,0.911057966,103.6736842,21.16923077,4.847457627,1.28125,1.47311828,1.6875,1.6875
1,1,1,Atlanta,4,27,89,N,33.78709,-84.34054,30306,22667,22246,21199,100.7,4.4,0.0,5164,11446,11221,1.2,7148,6001,602236,94021,2787,796,1194,454084,2.3,9066.8,112,1.235275952,138.4594595,29.6,4.872093023,1.339285714,1.704081633,1.982142857,1.982142857
1,1,1,Atlanta,2,17,76,Y,33.78539,-84.38533,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
2,1,2,Boston,4,5,140,Y,42.3624,-71.06507,2114,13187,11999,10868,142.7,0.4,0.1,29396,6455,6732,0.9,5729,7806,700019,90466,2900,1371,2083,808477,3.5,5274.8,55,1.042693562,139.0363636,47.6875,4.8,1.109090909,1.348837209,1.618181818,1.618181818
1,1,1,Atlanta,2,37,89,Y,33.80132,-84.37231,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,1,Atlanta,2,17,80,N,33.78678,-84.3788,30309,23359,21845,18739,97.6,3.4,0.0,6834,12109,11249,1.1,3363,4348,310330,81549,1959,821,1243,346940,2.4,9343.6,190,2.033477461,131.0585106,28.44444444,4.881679389,1.326315789,1.580838323,1.968421053,1.968421053
1,1,2,Atlanta,5,45,97,Y,33.77769,-84.3699,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1,1,2,Atlanta,3,69,69,Y,33.77929,-84.37988,30308,17280,15413,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155,2380,259718,59088,1713,665,1162,326958,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
3,4,5,Atlanta,10,17,187,Y,33.75468,-84.31142,30317,13265,11970,13981,97.1,3.5,0.0,3777,6269,6995,1.0,3071,1381,272815,63369,1736,457,950,245386,6.1,5306.0,75,1.413494158,104.7432432,35.28070175,4.944444444,1.459459459,1.845070423,2.146666667,2.146666667
